# RA DEC XI ETA F475W F814W V VERR
11.199 41.618 0.386 0.35 23.857 21.106 -46.397 2.775 
11.2 41.616 0.387 0.348 23.9 21.58 -317.387 3.665 
11.204 41.615 0.389 0.347 23.921 21.424 -324.141 3.768 
11.104 41.64 0.315 0.372 24.111 21.814 -437.376 4.26 
11.104 41.64 0.315 0.372 24.111 21.814 -127.162 4.882 
11.092 41.66 0.305 0.391 25.81 22.376 -293.438 6.599 
10.94 41.616 0.192 0.347 25.191 22.302 -67.13 0.124 
10.945 41.643 0.195 0.374 24.996 22.555 -3.973 2.847 
11.193 41.602 0.381 0.334 24.006 20.647 -271.11 1.146 
11.194 41.602 0.382 0.334 26.632 23.406 -171.017 11.029 
11.035 41.659 0.263 0.391 24.386 21.343 -143.105 2.244 
10.96 41.604 0.207 0.335 24.279 21.464 -234.026 3.794 
11.012 41.621 0.245 0.352 24.912 21.675 -179.27 3.016 
11.011 41.621 0.245 0.352 24.772 21.894 -78.415 3.42 
11.034 41.626 0.262 0.357 25.326 21.983 -73.385 5.0 
11.007 41.638 0.242 0.369 24.288 21.484 -74.179 1.523 
11.019 41.639 0.251 0.37 24.615 22.045 -152.532 4.463 
11.043 41.645 0.268 0.376 24.707 21.342 -161.671 1.479 
11.002 41.65 0.238 0.381 23.679 21.812 -112.115 2.539 
11.024 41.663 0.254 0.394 24.66 22.616 -80.869 6.479 
11.024 41.663 0.255 0.394 24.711 22.128 -265.837 5.288 
11.001 41.666 0.237 0.397 24.863 21.666 -159.628 2.103 
11.048 41.68 0.272 0.411 24.179 21.414 -161.091 2.243 
11.017 41.646 0.249 0.377 24.357 21.884 13.029 4.105 
11.01 41.646 0.244 0.377 24.341 21.892 -127.07 2.084 
11.031 41.657 0.26 0.388 25.029 21.973 -90.07 2.092 
11.032 41.657 0.26 0.388 25.006 22.22 -121.824 3.814 
10.957 41.606 0.205 0.337 24.824 21.685 -162.978 7.012 
10.955 41.614 0.202 0.345 23.224 20.639 -146.573 1.505 
10.944 41.621 0.194 0.352 23.975 21.026 -353.612 3.583 
10.949 41.632 0.198 0.364 23.345 21.37 -162.154 2.082 
10.946 41.638 0.196 0.369 23.337 21.194 -314.456 3.46 
10.964 41.653 0.209 0.384 24.549 21.658 -85.521 6.439 
10.97 41.664 0.214 0.395 24.307 21.451 -252.31 2.587 
10.976 41.666 0.218 0.397 24.064 21.428 -326.681 3.841 
10.975 41.666 0.218 0.397 25.566 22.488 -171.645 16.734 
10.961 41.671 0.207 0.402 22.898 21.012 -145.882 2.813 
10.969 41.677 0.213 0.408 24.588 21.251 -157.457 1.753 
10.965 41.618 0.21 0.349 24.427 21.473 -142.923 3.861 
10.972 41.667 0.215 0.398 24.234 21.895 -99.472 4.511 
10.988 41.636 0.227 0.367 24.49 21.397 -365.834 7.317 
11.108 41.617 0.317 0.348 23.258 20.642 -128.571 4.603 
10.976 41.601 0.218 0.332 23.711 20.67 -186.31 1.834 
10.964 41.604 0.209 0.335 24.002 20.942 -309.487 2.634 
10.961 41.605 0.208 0.336 24.387 21.024 -642.502 2.907 
10.95 41.606 0.199 0.337 22.865 20.37 -200.736 2.504 
10.957 41.606 0.205 0.337 24.824 21.685 -184.026 4.1 
10.982 41.607 0.223 0.338 23.971 21.129 -360.105 2.226 
10.967 41.608 0.212 0.339 24.918 22.048 -195.245 4.84 
10.979 41.608 0.221 0.339 24.523 21.304 -84.773 5.127 
10.951 41.608 0.2 0.339 24.493 21.364 -248.75 2.593 
11.126 41.568 0.331 0.3 23.411 21.31 -233.048 3.532 
11.126 41.568 0.331 0.3 26.101 23.49 -276.989 4.866 
11.1 41.558 0.312 0.289 23.5 21.623 -85.116 3.181 
11.175 41.59 0.368 0.321 23.528 21.634 -87.785 2.89 
11.152 41.594 0.35 0.326 23.203 20.924 -549.697 2.941 
11.162 41.591 0.358 0.323 23.278 21.118 -88.502 4.477 
11.095 41.605 0.308 0.337 22.992 20.947 -69.716 1.49 
11.177 41.568 0.369 0.3 22.986 20.686 -346.113 1.996 
11.19 41.554 0.379 0.286 23.623 21.692 -235.252 3.431 
11.14 41.572 0.342 0.303 23.209 21.03 -74.862 1.276 
11.106 41.579 0.316 0.31 23.703 21.582 -558.291 7.104 
11.171 41.606 0.365 0.338 23.495 21.519 -84.207 2.308 
11.182 41.54 0.373 0.272 24.208 21.215 -246.141 5.46 
11.088 41.552 0.303 0.283 24.115 21.259 -86.551 2.572 
11.082 41.572 0.298 0.303 24.859 21.585 -84.687 2.323 
11.05 41.586 0.274 0.317 24.7 21.531 -91.32 2.232 
11.089 41.57 0.304 0.301 23.228 20.475 -360.144 1.667 
11.044 41.581 0.269 0.312 24.528 21.367 -120.629 2.482 
11.071 41.569 0.29 0.3 24.238 21.092 -226.7 1.53 
11.059 41.593 0.281 0.324 24.827 21.478 -123.213 2.71 
11.072 41.577 0.291 0.308 24.997 21.623 -104.076 6.023 
11.048 41.578 0.273 0.31 23.71 20.805 -348.465 2.033 
11.055 41.554 0.278 0.285 24.683 21.52 -28.25 2.876 
11.097 41.606 0.309 0.338 24.312 21.222 -212.725 2.003 
11.224 41.605 0.405 0.337 24.649 21.385 -151.168 1.834 
11.199 41.602 0.386 0.334 24.924 21.867 -118.189 5.514 
11.136 41.57 0.338 0.301 23.169 20.818 -341.191 2.386 
11.168 41.544 0.362 0.276 24.026 21.229 -22.417 3.041 
11.142 41.564 0.343 0.295 23.24 20.726 -372.748 1.767 
11.103 41.57 0.314 0.301 23.331 20.655 -262.252 3.587 
11.146 41.551 0.346 0.283 23.444 21.351 -219.808 5.824 
11.104 41.567 0.315 0.298 23.889 21.326 -451.436 4.139 
11.077 41.56 0.295 0.291 23.736 20.81 -284.688 1.258 
11.067 41.551 0.287 0.283 23.656 20.938 -184.821 3.742 
11.057 41.571 0.279 0.303 23.923 21.062 19.861 2.879 
11.068 41.564 0.288 0.296 23.779 21.172 -65.269 2.317 
11.042 41.582 0.268 0.314 23.99 21.579 -388.403 3.586 
11.213 41.608 0.396 0.34 23.323 20.895 -87.305 4.074 
11.203 41.59 0.389 0.321 23.598 20.704 -314.917 1.667 
11.15 41.59 0.349 0.322 23.416 20.845 -241.736 1.663 
11.206 41.571 0.391 0.303 23.333 20.662 -447.138 1.923 
11.222 41.574 0.403 0.306 23.923 21.071 -366.935 1.576 
11.161 41.597 0.357 0.328 23.553 21.28 -225.327 3.73 
11.197 41.583 0.384 0.315 23.822 21.085 -272.302 2.184 
11.156 41.59 0.354 0.321 23.866 21.773 -385.298 4.178 
11.164 41.596 0.36 0.328 23.608 21.116 -131.941 2.639 
11.173 41.592 0.366 0.323 23.864 21.134 -497.353 1.856 
11.158 41.58 0.355 0.311 23.8 21.414 -63.937 2.86 
11.123 41.599 0.329 0.33 23.954 21.667 -575.775 4.326 
11.198 41.543 0.385 0.275 23.343 20.71 -425.706 2.503 
11.183 41.58 0.374 0.312 23.58 20.826 -285.708 1.797 
11.188 41.573 0.378 0.305 23.365 20.786 -202.491 2.331 
11.185 41.559 0.375 0.291 23.916 20.974 -359.873 1.918 
11.131 41.558 0.335 0.289 23.732 21.325 -364.855 3.536 
11.192 41.559 0.38 0.291 24.446 21.08 -162.306 1.528 
11.129 41.56 0.333 0.291 23.519 20.76 -582.005 1.742 
11.149 41.56 0.348 0.292 23.75 21.342 -425.552 3.58 
11.111 41.582 0.32 0.313 23.576 21.036 -31.569 1.63 
11.24 41.609 0.417 0.341 23.301 20.796 -344.314 1.469 
11.169 41.605 0.363 0.336 23.862 21.009 -54.58 1.188 
11.17 41.605 0.364 0.336 24.257 21.567 -469.402 2.829 
11.247 41.609 0.421 0.341 23.822 21.186 -170.049 2.082 
11.238 41.606 0.415 0.338 23.829 21.132 -138.191 2.038 
11.239 41.606 0.416 0.338 24.394 21.647 -333.647 3.089 
11.236 41.606 0.414 0.338 23.886 21.379 -160.242 2.501 
11.201 41.6 0.387 0.331 23.433 20.723 -4.289 1.898 
11.217 41.583 0.4 0.315 24.425 22.392 -74.249 7.029 
11.045 41.588 0.27 0.319 24.633 21.342 -119.572 2.866 
11.108 41.589 0.318 0.321 21.818 18.665 -89.196 0.626 
11.179 41.589 0.371 0.321 22.915 20.325 -86.712 1.38 
11.179 41.589 0.371 0.321 24.49 21.681 -126.186 4.148 
11.193 41.602 0.381 0.334 24.006 20.647 -290.166 1.224 
11.017 41.576 0.25 0.307 24.732 21.441 -28.074 1.969 
10.984 41.563 0.225 0.294 24.317 21.286 -139.36 3.653 
10.997 41.565 0.234 0.296 24.927 22.953 -149.863 3.228 
11.015 41.567 0.248 0.298 24.789 21.643 -120.481 3.031 
11.034 41.581 0.262 0.312 24.229 21.499 -323.254 5.016 
11.008 41.584 0.242 0.316 24.393 21.579 -83.683 3.012 
11.256 41.533 0.428 0.265 24.365 21.214 -122.271 1.46 
11.259 41.544 0.431 0.276 24.201 21.373 -176.644 1.889 
11.282 41.548 0.449 0.28 24.373 22.598 -216.807 5.881 
11.272 41.555 0.44 0.288 23.109 20.134 -212.572 1.384 
11.275 41.555 0.443 0.288 26.237 23.773 -274.042 7.877 
11.295 41.569 0.458 0.302 24.496 21.102 -108.186 2.097 
11.296 41.569 0.459 0.302 24.983 22.617 -468.738 5.256 
11.279 41.574 0.446 0.307 23.698 21.004 -151.629 1.764 
11.253 41.584 0.426 0.317 24.425 21.378 -154.634 1.815 
11.287 41.588 0.452 0.32 24.413 21.251 -49.838 2.567 
11.291 41.597 0.454 0.329 24.267 21.684 -119.596 2.504 
11.258 41.608 0.43 0.34 24.846 21.489 -41.762 2.631 
11.262 41.598 0.433 0.33 25.099 23.057 -141.011 3.729 
11.265 41.598 0.436 0.33 25.121 22.707 -164.312 6.458 
11.367 41.854 0.511 0.586 24.39 21.466 -73.008 2.002 
11.341 41.913 0.491 0.646 23.411 21.418 -73.185 1.778 
11.355 41.906 0.502 0.638 23.657 21.635 -60.548 1.812 
11.251 41.923 0.424 0.655 23.843 20.818 -113.637 0.892 
11.228 41.91 0.406 0.642 23.565 20.345 -163.217 0.799 
11.247 41.923 0.421 0.655 24.861 21.554 -108.081 1.467 
11.3 41.878 0.461 0.61 26.019 22.923 50.385 1.602 
11.301 41.878 0.461 0.61 26.17 23.939 -43.697 7.224 
11.216 41.886 0.398 0.618 24.763 21.365 -192.907 1.722 
11.222 41.884 0.402 0.616 24.666 21.301 -82.686 1.601 
11.241 41.886 0.416 0.618 24.451 21.486 -73.19 2.208 
11.394 41.909 0.531 0.642 24.83 22.114 -575.514 3.756 
