# RA DEC XI ETA F475W F814W V VERR
11.194 41.652 0.382 0.384 24.153 21.22 -94.96 2.088 
11.206 41.654 0.391 0.386 23.743 21.048 -341.303 3.204 
11.127 41.654 0.332 0.386 24.997 21.567 -64.301 2.375 
11.096 41.657 0.309 0.388 24.577 21.197 -204.998 2.438 
11.127 41.658 0.332 0.389 24.846 21.531 -124.396 3.374 
11.154 41.658 0.352 0.39 24.921 21.676 -168.38 3.996 
11.11 41.661 0.319 0.393 24.54 21.809 -446.803 4.198 
11.119 41.662 0.326 0.393 24.735 21.522 -207.527 4.009 
11.128 41.662 0.333 0.394 24.472 21.348 -255.038 2.727 
11.113 41.663 0.321 0.394 24.876 22.249 -115.519 3.489 
11.226 41.663 0.406 0.395 24.381 21.277 -33.939 1.813 
11.163 41.664 0.358 0.396 24.357 22.056 -126.866 2.838 
11.183 41.666 0.374 0.398 25.008 21.77 -174.641 5.32 
11.091 41.667 0.305 0.399 24.055 21.61 -80.216 3.609 
11.155 41.667 0.353 0.399 24.362 21.235 -110.821 1.829 
11.182 41.668 0.372 0.4 24.608 22.001 -164.813 10.056 
11.134 41.67 0.337 0.401 25.731 22.389 -117.636 2.245 
11.131 41.67 0.335 0.402 24.126 21.012 -92.263 1.652 
11.2 41.671 0.386 0.403 24.506 21.741 -142.272 3.694 
11.105 41.675 0.315 0.407 24.284 21.438 -177.527 2.69 
11.097 41.68 0.309 0.412 23.363 20.73 -173.704 4.609 
11.093 41.681 0.306 0.412 24.614 21.592 -107.267 3.811 
11.137 41.682 0.339 0.414 23.585 20.978 -142.972 2.484 
11.057 41.683 0.279 0.414 24.244 21.465 -192.481 9.316 
11.052 41.684 0.275 0.416 24.932 21.945 -198.023 3.835 
11.179 41.689 0.371 0.421 24.058 21.934 -96.906 4.213 
11.169 41.692 0.363 0.423 24.756 21.881 -171.139 4.278 
11.072 41.694 0.29 0.425 24.264 21.546 -191.813 3.243 
11.128 41.695 0.333 0.427 24.25 20.94 -38.901 1.732 
11.109 41.695 0.318 0.427 24.265 20.992 -155.22 1.339 
11.172 41.697 0.366 0.428 24.575 21.3 -109.952 3.787 
11.103 41.698 0.314 0.429 24.502 21.765 -46.415 5.091 
11.096 41.701 0.308 0.433 24.581 22.439 -334.097 3.843 
11.08 41.703 0.296 0.435 24.905 21.575 -13.31 2.731 
11.041 41.704 0.267 0.435 23.726 20.991 -103.94 1.739 
11.104 41.706 0.315 0.437 24.013 20.78 -108.634 1.169 
11.103 41.706 0.314 0.438 24.03 21.205 -89.8 1.802 
11.037 41.709 0.264 0.441 24.606 21.569 -245.413 2.744 
11.052 41.71 0.275 0.442 24.173 20.981 -154.577 2.131 
11.122 41.711 0.328 0.443 23.82 20.911 -136.146 1.506 
11.117 41.715 0.324 0.446 24.522 21.449 -105.894 2.764 
11.037 41.716 0.264 0.448 24.702 21.562 -185.924 3.112 
11.113 41.719 0.321 0.451 24.041 21.521 -322.419 2.105 
11.05 41.721 0.274 0.452 24.359 21.146 -190.279 2.103 
11.041 41.722 0.267 0.453 24.631 21.772 -133.689 2.47 
11.047 41.723 0.272 0.454 24.403 21.161 -100.361 2.427 
11.112 41.723 0.32 0.455 24.871 21.503 -145.672 2.138 
11.091 41.724 0.305 0.456 25.199 22.492 -200.646 5.672 
11.066 41.73 0.286 0.461 24.969 22.023 -114.97 3.244 
11.081 41.734 0.297 0.465 24.427 21.302 -89.857 2.379 
11.09 41.737 0.304 0.469 24.391 21.031 -105.578 1.735 
11.041 41.739 0.267 0.47 23.824 20.822 -445.598 2.015 
11.097 41.741 0.309 0.472 24.936 22.119 -46.606 4.334 
11.064 41.741 0.284 0.472 24.48 21.264 -62.343 3.41 
11.041 41.747 0.267 0.479 23.851 21.565 -139.689 12.543 
11.033 41.75 0.261 0.481 24.948 21.572 -197.75 4.219 
11.042 41.752 0.268 0.483 24.35 20.959 -371.741 2.556 
11.047 41.766 0.271 0.498 24.099 20.766 -331.673 2.004 
11.311 41.587 0.47 0.319 24.383 21.121 -149.806 2.516 
11.277 41.594 0.444 0.326 23.622 21.403 -139.203 3.172 
11.318 41.607 0.475 0.34 23.646 21.302 -210.395 3.446 
11.21 41.61 0.394 0.342 24.343 21.405 -182.933 3.795 
11.17 41.663 0.364 0.395 23.901 20.724 -161.101 1.66 
11.131 41.684 0.335 0.415 24.563 21.797 -142.974 3.824 
11.12 41.685 0.326 0.416 24.854 22.158 -138.6 4.243 
11.049 41.704 0.273 0.435 23.766 21.591 -598.439 4.117 
11.027 41.722 0.257 0.454 24.578 21.288 -204.529 2.592 
11.258 41.608 0.43 0.34 24.846 21.489 -26.754 2.401 
11.209 41.641 0.393 0.373 24.542 21.604 -76.05 3.84 
11.185 41.66 0.375 0.392 24.361 22.191 -108.077 6.034 
11.201 41.674 0.387 0.406 24.501 21.727 -145.934 4.206 
11.128 41.706 0.332 0.438 23.863 21.433 -155.104 3.848 
11.123 41.713 0.328 0.445 24.534 21.56 -69.26 2.509 
11.252 41.639 0.426 0.371 24.358 21.691 -108.897 3.116 
11.164 41.684 0.36 0.416 24.93 22.149 -132.669 6.196 
11.331 41.527 0.485 0.26 24.045 21.324 -237.571 4.588 
11.321 41.527 0.478 0.26 24.365 21.518 -246.277 6.325 
11.337 41.53 0.49 0.263 24.043 21.208 -240.588 2.84 
11.355 41.53 0.503 0.263 24.354 22.006 -179.646 4.857 
11.33 41.532 0.484 0.264 23.037 20.455 -474.591 1.417 
11.302 41.534 0.464 0.267 24.119 21.08 -185.383 3.17 
11.386 41.535 0.527 0.268 23.704 20.926 -186.031 2.712 
11.394 41.538 0.532 0.27 24.678 21.581 -334.369 3.153 
11.339 41.538 0.491 0.271 23.807 20.676 -155.098 1.167 
11.347 41.539 0.497 0.271 24.712 21.296 -159.545 3.041 
11.394 41.543 0.532 0.276 23.868 20.656 -154.059 1.622 
11.4 41.546 0.537 0.279 25.032 21.688 -211.953 2.827 
11.327 41.552 0.482 0.284 24.512 21.28 -291.39 3.231 
11.29 41.556 0.454 0.289 24.071 21.547 -166.799 3.052 
11.381 41.556 0.523 0.289 23.504 20.943 -322.82 2.141 
11.321 41.558 0.478 0.29 24.527 21.208 -196.487 3.13 
11.333 41.562 0.487 0.295 23.807 21.43 -189.155 2.319 
11.354 41.563 0.502 0.296 24.747 21.914 -175.656 3.441 
11.292 41.564 0.456 0.296 24.684 21.731 -128.717 3.24 
11.424 41.565 0.555 0.298 24.726 21.684 -166.32 3.091 
11.316 41.566 0.474 0.298 23.925 20.855 -190.876 1.696 
11.312 41.569 0.471 0.302 24.936 21.899 -97.795 3.462 
11.35 41.571 0.499 0.303 24.482 21.544 -171.921 4.909 
11.354 41.571 0.502 0.303 25.249 22.343 -125.906 5.912 
11.409 41.572 0.543 0.305 24.028 21.139 -301.668 2.138 
11.338 41.574 0.49 0.307 25.073 22.384 -160.417 2.261 
11.398 41.575 0.535 0.308 24.798 21.516 -338.125 2.235 
11.411 41.575 0.545 0.308 24.233 21.773 -177.491 4.22 
11.413 41.579 0.546 0.312 24.122 21.684 -153.438 4.425 
11.347 41.58 0.497 0.313 23.202 20.769 -304.762 2.179 
11.42 41.58 0.552 0.313 24.521 21.831 -255.523 3.691 
11.421 41.582 0.553 0.315 24.031 21.388 -194.159 3.055 
11.342 41.585 0.493 0.318 23.784 21.32 -272.884 2.621 
11.329 41.592 0.483 0.324 23.921 20.999 -199.926 1.978 
11.375 41.594 0.518 0.327 23.75 21.374 -300.353 2.327 
11.402 41.596 0.538 0.329 24.34 21.121 -292.213 1.702 
11.411 41.596 0.544 0.329 23.804 21.117 -164.586 1.769 
11.346 41.6 0.496 0.333 23.94 20.871 -399.164 1.541 
11.376 41.603 0.519 0.336 24.917 22.571 -166.831 5.521 
11.346 41.606 0.496 0.339 24.972 21.55 -121.292 2.276 
11.431 41.608 0.56 0.341 24.094 20.946 -179.694 1.439 
11.408 41.608 0.543 0.341 24.231 21.205 -255.898 2.244 
11.402 41.609 0.538 0.342 23.924 21.226 -94.485 2.274 
11.389 41.611 0.528 0.343 24.594 21.537 -235.372 2.376 
11.432 41.611 0.561 0.344 24.077 21.009 -110.627 1.904 
11.403 41.612 0.539 0.345 24.897 21.945 -132.296 4.247 
11.434 41.616 0.562 0.349 24.9 21.511 -192.361 2.277 
11.398 41.619 0.535 0.352 23.964 21.058 -379.913 2.291 
11.442 41.622 0.568 0.355 24.826 21.453 -85.337 4.789 
11.386 41.624 0.526 0.357 23.194 20.254 -268.679 1.485 
11.41 41.634 0.544 0.367 24.324 21.283 -198.049 2.451 
11.458 41.636 0.58 0.369 24.378 21.165 -197.137 2.49 
11.43 41.644 0.559 0.377 24.033 20.958 -104.761 1.453 
11.437 41.644 0.564 0.377 23.834 21.409 -120.215 1.867 
11.421 41.648 0.552 0.381 24.359 21.001 -337.192 1.65 
11.495 41.65 0.608 0.383 24.666 21.685 -233.182 2.835 
11.498 41.651 0.61 0.384 24.484 21.262 -246.351 2.356 
11.434 41.651 0.562 0.384 24.685 21.273 -201.468 1.734 
11.504 41.652 0.615 0.386 23.958 20.773 -336.374 1.283 
11.398 41.656 0.534 0.389 24.629 21.404 -83.381 2.315 
11.396 41.655 0.534 0.388 23.801 21.005 -106.808 1.797 
11.469 41.656 0.588 0.389 24.682 21.285 -234.137 2.062 
11.462 41.661 0.583 0.395 23.172 21.014 -234.103 3.563 
11.5 41.662 0.611 0.396 24.28 21.064 -156.429 2.189 
11.447 41.663 0.572 0.396 24.297 21.009 -64.599 1.955 
11.475 41.663 0.593 0.396 24.268 21.039 -130.027 1.393 
11.501 41.663 0.612 0.397 24.502 21.167 -51.713 1.475 
11.421 41.664 0.552 0.397 24.66 21.68 -163.73 3.113 
11.398 41.665 0.535 0.398 23.001 21.132 -147.477 1.876 
11.441 41.665 0.567 0.398 24.417 21.118 -90.815 2.96 
11.42 41.666 0.551 0.4 24.36 21.09 -151.918 1.603 
11.479 41.668 0.595 0.402 24.124 21.398 -27.578 6.076 
11.418 41.67 0.55 0.403 24.845 21.664 -201.274 2.939 
11.416 41.674 0.549 0.407 24.266 21.102 -84.353 2.511 
11.43 41.675 0.559 0.409 23.64 20.898 -489.002 2.071 
11.513 41.686 0.621 0.419 24.714 21.332 -396.246 2.189 
11.504 41.687 0.614 0.42 24.682 21.322 -194.163 2.136 
11.474 41.688 0.592 0.421 23.391 20.936 -303.374 2.287 
11.464 41.691 0.584 0.425 23.136 20.812 -403.518 3.43 
11.52 41.693 0.626 0.427 23.653 21.05 -353.856 2.349 
11.466 41.694 0.585 0.427 24.434 21.275 -97.377 1.833 
11.545 41.693 0.645 0.427 23.792 20.922 -417.462 2.527 
11.522 41.694 0.628 0.428 24.128 21.013 -157.898 1.669 
11.511 41.694 0.619 0.428 24.585 21.28 -49.935 2.4 
11.491 41.695 0.604 0.429 23.701 21.452 -133.249 2.761 
11.537 41.695 0.639 0.429 24.142 20.812 -66.794 1.96 
11.457 41.7 0.579 0.433 24.527 21.68 -34.567 2.454 
11.472 41.701 0.59 0.434 25.259 22.502 -171.746 9.263 
11.48 41.703 0.596 0.436 24.593 21.359 -133.127 2.238 
11.487 41.706 0.602 0.44 24.59 21.321 -167.308 2.403 
11.534 41.71 0.637 0.443 24.291 21.144 -12.683 2.116 
11.549 41.712 0.648 0.446 23.564 20.953 -316.78 2.798 
11.508 41.718 0.617 0.451 24.063 21.28 -103.486 3.348 
11.466 41.725 0.586 0.458 24.473 21.147 42.44 7.308 
11.544 41.727 0.644 0.461 24.552 21.142 -130.812 2.532 
11.542 41.735 0.642 0.469 23.443 20.853 -472.851 2.565 
11.501 41.738 0.612 0.472 24.154 21.025 -526.688 1.932 
11.512 41.74 0.62 0.474 24.406 21.797 -97.995 4.301 
11.312 41.541 0.471 0.273 24.698 21.399 -184.896 3.665 
11.357 41.546 0.504 0.279 24.335 21.339 -104.019 2.719 
11.349 41.558 0.499 0.291 23.934 22.04 -163.811 4.31 
11.345 41.597 0.495 0.329 24.629 21.29 -177.833 1.715 
11.394 41.576 0.532 0.309 24.026 21.682 -288.789 2.972 
11.157 41.845 0.354 0.577 24.619 22.067 -159.98 4.888 
11.34 41.744 0.491 0.476 23.818 20.708 -220.724 2.789 
11.364 41.666 0.509 0.399 25.118 21.874 -218.656 12.335 
11.372 41.671 0.515 0.404 23.834 20.92 -138.257 1.936 
11.348 41.673 0.497 0.405 25.001 21.809 -50.58 2.834 
11.366 41.675 0.511 0.408 23.292 21.422 -135.328 2.428 
11.385 41.675 0.525 0.408 23.55 21.054 -101.369 3.648 
11.38 41.678 0.522 0.41 24.622 21.751 -76.8 5.571 
11.31 41.693 0.468 0.426 24.371 21.63 -101.125 3.189 
11.405 41.693 0.54 0.426 24.578 21.663 -72.25 4.677 
11.382 41.694 0.523 0.427 24.37 21.919 -148.525 4.845 
11.333 41.696 0.486 0.428 24.448 21.459 -135.533 8.405 
11.35 41.7 0.499 0.433 23.95 20.972 -80.47 2.891 
11.374 41.701 0.517 0.434 24.127 21.672 -86.555 5.741 
11.407 41.71 0.541 0.443 24.651 21.347 -131.537 3.271 
11.378 41.712 0.52 0.445 24.178 21.982 -104.922 5.636 
11.405 41.719 0.54 0.452 25.044 21.86 -130.786 4.718 
11.325 41.72 0.48 0.452 23.959 20.941 -298.001 2.216 
11.388 41.723 0.527 0.456 22.858 20.915 -306.162 9.578 
11.412 41.724 0.545 0.457 24.128 20.807 5.901 3.093 
11.388 41.729 0.527 0.461 25.077 22.312 -122.231 4.366 
11.289 41.734 0.453 0.466 24.25 20.95 -168.279 3.066 
11.397 41.736 0.534 0.469 24.789 21.376 -56.967 4.865 
11.352 41.738 0.5 0.47 23.555 20.797 -291.198 2.631 
11.3 41.739 0.461 0.472 24.576 21.885 -16.92 4.576 
11.363 41.741 0.508 0.474 23.901 21.031 -46.453 2.138 
11.342 41.743 0.493 0.476 23.696 21.311 -384.89 5.969 
11.278 41.746 0.445 0.479 25.824 22.915 -96.553 7.241 
11.247 41.749 0.422 0.481 24.503 21.295 -48.602 3.353 
11.334 41.749 0.487 0.481 24.535 21.133 -384.695 1.902 
11.324 41.749 0.479 0.481 23.361 20.535 -185.043 1.728 
11.338 41.75 0.489 0.483 24.928 21.956 -189.988 7.381 
11.346 41.752 0.496 0.485 24.263 21.436 -231.746 3.084 
11.328 41.76 0.482 0.492 24.876 21.501 -249.299 4.615 
11.228 41.761 0.407 0.493 24.439 21.543 -74.357 4.881 
11.306 41.76 0.465 0.493 24.745 21.598 -84.604 3.692 
11.234 41.765 0.412 0.497 24.691 21.345 -209.483 3.277 
11.331 41.771 0.484 0.503 24.486 21.549 -163.826 4.169 
11.254 41.773 0.427 0.505 24.558 21.324 -152.631 2.781 
11.158 41.775 0.355 0.507 24.481 21.171 -20.342 2.89 
11.187 41.776 0.376 0.508 24.491 21.396 -152.423 5.335 
11.185 41.777 0.375 0.509 24.589 21.688 -57.304 7.218 
11.218 41.777 0.4 0.509 24.801 22.347 -86.527 5.53 
11.209 41.78 0.393 0.512 24.801 21.522 -50.183 2.946 
11.283 41.781 0.448 0.513 24.415 21.588 -75.602 4.383 
11.257 41.782 0.429 0.514 23.392 21.012 23.457 2.756 
11.307 41.782 0.466 0.514 24.068 21.262 -577.958 4.707 
11.306 41.782 0.465 0.514 23.549 21.139 -135.743 3.772 
11.235 41.783 0.412 0.515 24.455 21.135 58.581 2.583 
11.301 41.783 0.462 0.515 23.484 21.086 -64.445 2.641 
11.212 41.786 0.395 0.518 24.232 21.194 -177.483 2.741 
11.152 41.788 0.35 0.52 23.473 21.097 -165.871 4.193 
11.245 41.788 0.42 0.52 23.637 21.168 -197.645 4.818 
11.235 41.79 0.412 0.522 23.79 20.651 -327.381 1.669 
11.248 41.793 0.422 0.525 23.919 21.561 -343.905 4.233 
11.242 41.799 0.418 0.531 24.568 21.532 -292.317 6.941 
11.141 41.8 0.342 0.532 24.574 21.462 -54.278 3.494 
11.228 41.803 0.407 0.535 24.359 21.631 -171.309 4.99 
11.261 41.81 0.432 0.542 24.262 21.252 -154.803 2.522 
11.146 41.813 0.346 0.544 24.351 21.575 -157.184 2.963 
11.186 41.813 0.376 0.545 24.251 21.152 -265.923 3.176 
11.152 41.813 0.35 0.545 24.92 21.861 -60.723 6.634 
11.216 41.815 0.398 0.547 23.948 21.388 -74.548 4.288 
11.176 41.816 0.368 0.547 24.529 21.774 -76.332 3.749 
11.188 41.818 0.377 0.55 24.43 21.815 -207.06 4.126 
11.254 41.818 0.427 0.55 24.314 21.598 -3.163 4.314 
11.218 41.819 0.399 0.551 24.241 21.551 47.466 5.2 
11.191 41.822 0.379 0.554 24.223 21.616 -171.98 5.671 
11.206 41.823 0.39 0.555 24.586 21.224 -125.836 3.158 
11.173 41.823 0.366 0.555 24.127 21.481 -199.381 8.561 
11.182 41.828 0.372 0.56 24.879 21.543 -156.079 5.191 
11.193 41.834 0.381 0.566 23.545 21.221 -567.268 3.443 
11.184 41.835 0.374 0.567 24.123 21.088 -4.079 3.31 
11.176 41.838 0.368 0.569 24.95 21.761 -20.468 5.207 
11.195 41.848 0.382 0.58 23.865 21.145 -151.443 4.237 
11.134 41.848 0.336 0.58 24.225 21.088 -136.275 2.305 
11.141 41.858 0.342 0.59 23.783 20.988 -90.293 3.699 
11.178 41.86 0.37 0.592 24.379 21.203 -52.253 3.345 
11.383 41.713 0.523 0.446 24.481 21.704 -45.79 5.026 
11.367 41.718 0.511 0.451 24.347 22.203 -159.552 5.755 
11.322 41.734 0.478 0.466 24.495 21.602 -177.256 5.12 
11.289 41.739 0.453 0.471 24.668 21.636 -180.126 3.68 
11.382 41.739 0.523 0.471 23.788 21.631 -181.575 15.516 
11.292 41.745 0.455 0.477 24.644 21.469 -385.748 5.953 
11.312 41.76 0.47 0.492 24.837 21.962 -92.679 3.723 
11.336 41.766 0.488 0.498 23.963 21.568 -254.102 4.991 
11.304 41.771 0.464 0.503 24.739 21.782 -102.561 4.881 
11.247 41.774 0.422 0.506 24.677 21.453 -81.638 3.149 
11.2 41.78 0.386 0.512 24.629 21.323 -145.162 6.863 
11.239 41.806 0.415 0.538 23.93 20.734 -72.844 1.817 
11.249 41.814 0.423 0.546 24.835 21.926 -130.218 7.933 
11.352 41.736 0.5 0.469 24.491 21.769 -97.529 3.768 
11.259 41.787 0.43 0.519 24.61 21.569 -72.018 3.8 
11.372 41.673 0.515 0.406 24.353 21.547 -357.212 3.514 
11.326 41.736 0.481 0.469 24.573 21.947 -143.784 3.929 
11.21 41.783 0.393 0.515 24.957 22.32 -143.639 3.892 
11.142 41.813 0.342 0.544 24.402 21.346 -250.822 4.327 
11.167 41.868 0.361 0.599 24.646 21.784 -145.266 4.37 
11.138 41.834 0.34 0.566 23.959 21.742 -60.921 6.783 
11.351 41.867 0.499 0.599 25.395 23.503 -36.103 8.538 
11.476 41.787 0.593 0.52 24.54 21.137 -43.005 3.682 
11.44 41.793 0.565 0.526 24.735 21.453 -114.745 2.601 
11.457 41.798 0.578 0.532 23.949 21.298 -96.708 2.943 
11.44 41.798 0.566 0.532 25.106 21.916 -62.047 3.357 
11.465 41.801 0.584 0.534 23.948 21.498 -547.98 4.407 
11.442 41.801 0.567 0.535 24.303 21.387 -235.308 3.997 
11.434 41.802 0.562 0.535 25.358 22.044 -80.097 4.958 
11.501 41.802 0.611 0.536 25.294 21.853 -118.867 18.641 
11.479 41.805 0.595 0.538 24.697 21.888 -207.65 3.518 
11.408 41.807 0.541 0.54 25.098 22.023 -63.88 7.036 
11.498 41.807 0.609 0.54 24.082 21.329 -93.761 2.333 
11.452 41.808 0.574 0.541 24.315 21.289 -394.646 2.256 
11.469 41.809 0.588 0.542 24.04 20.772 -54.994 2.573 
11.496 41.809 0.608 0.543 23.453 21.457 -148.996 4.959 
11.478 41.811 0.594 0.544 23.728 20.954 -81.652 1.753 
11.446 41.811 0.57 0.544 23.968 21.393 -118.653 3.411 
11.513 41.816 0.62 0.549 23.967 20.829 -75.295 2.701 
11.398 41.817 0.534 0.55 23.958 20.869 -40.723 1.559 
11.384 41.822 0.524 0.555 24.465 22.338 -95.961 4.34 
11.468 41.822 0.587 0.555 24.457 21.492 -57.208 2.374 
11.445 41.828 0.57 0.562 24.985 22.576 -53.284 6.667 
11.469 41.83 0.587 0.563 22.819 20.879 -81.759 2.101 
11.374 41.834 0.516 0.567 25.085 22.683 25.421 20.535 
11.466 41.834 0.585 0.567 24.383 21.451 2.138 2.456 
11.449 41.839 0.572 0.572 24.302 21.04 -223.666 2.166 
11.412 41.839 0.544 0.572 24.015 21.077 -76.042 2.159 
11.459 41.84 0.58 0.573 23.733 21.149 -61.997 1.297 
11.454 41.841 0.576 0.574 24.17 21.059 -317.729 1.53 
11.447 41.843 0.571 0.576 24.557 21.338 -58.963 3.832 
11.498 41.843 0.609 0.577 23.924 21.253 -62.501 3.607 
11.401 41.844 0.537 0.577 24.691 21.383 -86.999 2.09 
11.393 41.848 0.531 0.581 25.091 21.832 -183.442 2.976 
11.417 41.853 0.548 0.586 24.574 21.727 -10.421 3.592 
11.431 41.855 0.559 0.588 24.312 21.423 -101.246 2.732 
11.362 41.856 0.508 0.588 23.7 21.431 -40.89 4.446 
11.442 41.856 0.567 0.589 23.569 20.602 -35.017 1.168 
11.395 41.857 0.532 0.59 24.039 20.851 -4.942 1.973 
11.363 41.858 0.508 0.591 24.253 21.202 -131.13 3.119 
11.38 41.859 0.521 0.592 23.969 20.937 -62.791 1.866 
11.435 41.865 0.562 0.598 23.76 21.724 -657.519 3.544 
11.451 41.867 0.574 0.6 24.028 21.515 -45.377 2.049 
11.332 41.87 0.485 0.602 23.406 21.603 2.185 4.954 
11.368 41.87 0.512 0.602 24.701 21.409 -48.533 2.358 
11.354 41.871 0.501 0.603 24.969 21.697 -36.637 3.218 
11.359 41.871 0.505 0.603 24.477 21.904 -33.687 4.273 
11.451 41.871 0.574 0.604 24.547 21.286 -203.878 2.814 
11.401 41.874 0.536 0.607 25.713 23.457 -59.8 5.636 
11.311 41.877 0.469 0.609 24.522 21.612 -49.196 4.357 
11.424 41.877 0.554 0.61 25.091 21.695 -67.632 2.309 
11.402 41.877 0.537 0.61 24.814 21.59 -89.083 4.124 
11.366 41.879 0.51 0.611 24.813 21.469 -96.172 2.543 
11.412 41.878 0.545 0.611 24.297 21.081 -67.278 2.52 
11.39 41.879 0.528 0.612 23.746 20.98 -93.429 2.546 
11.35 41.885 0.498 0.618 24.87 22.058 45.189 4.488 
11.365 41.887 0.509 0.619 27.108 23.67 -120.17 2.145 
11.301 41.887 0.461 0.619 25.283 22.123 -212.489 5.608 
11.328 41.888 0.481 0.62 24.777 21.688 35.478 3.184 
11.397 41.887 0.533 0.62 24.589 21.876 -85.509 2.964 
11.356 41.888 0.503 0.62 24.123 21.099 -83.844 2.117 
11.312 41.889 0.469 0.621 24.28 21.124 -69.743 1.959 
11.35 41.888 0.498 0.621 23.659 21.122 -65.048 3.886 
11.387 41.889 0.525 0.622 24.361 21.319 -73.88 2.079 
11.329 41.892 0.482 0.624 24.528 21.376 -64.286 2.416 
11.291 41.893 0.454 0.626 24.305 21.207 -141.013 2.073 
11.337 41.895 0.488 0.627 24.421 21.089 -55.813 2.092 
11.402 41.897 0.537 0.63 24.127 21.269 -574.218 2.387 
11.332 41.903 0.484 0.636 24.553 21.84 -54.491 3.212 
11.313 41.908 0.47 0.64 24.206 21.537 -73.599 2.977 
11.239 41.908 0.415 0.64 23.133 20.685 -119.729 1.119 
11.349 41.909 0.497 0.642 24.336 21.773 -127.838 4.223 
11.303 41.91 0.463 0.643 24.79 21.83 -66.061 2.469 
11.33 41.913 0.483 0.645 24.282 21.595 -17.554 3.125 
11.342 41.915 0.492 0.648 24.708 21.902 -136.988 4.868 
11.314 41.917 0.471 0.649 24.528 21.362 -40.735 2.276 
11.337 41.917 0.488 0.649 22.664 20.453 -79.682 0.969 
11.235 41.919 0.412 0.651 24.32 20.987 -568.663 2.262 
11.341 41.918 0.491 0.651 24.126 20.957 -35.668 4.028 
11.235 41.922 0.412 0.654 24.721 22.011 -185.344 6.177 
11.29 41.923 0.453 0.655 24.424 21.715 -144.564 3.552 
11.308 41.932 0.467 0.664 24.22 20.875 -101.312 3.081 
11.261 41.933 0.431 0.665 23.781 21.355 -122.415 2.598 
11.338 41.934 0.489 0.666 24.715 22.595 -58.736 6.579 
11.288 41.935 0.451 0.668 24.383 21.308 -124.728 4.965 
11.224 41.936 0.404 0.668 25.132 22.872 -110.812 7.815 
11.279 41.937 0.445 0.669 24.732 21.656 0.195 3.357 
11.324 41.94 0.478 0.673 25.003 21.681 -79.29 3.84 
11.306 41.941 0.465 0.673 23.874 20.929 -565.667 2.351 
11.26 41.942 0.431 0.674 24.518 21.826 -76.382 3.518 
11.295 41.949 0.457 0.681 24.593 22.052 -94.452 4.13 
11.288 41.95 0.451 0.683 24.189 20.925 -100.083 1.577 
11.244 41.952 0.418 0.684 22.917 20.819 -88.609 2.127 
11.234 41.954 0.411 0.686 23.036 21.086 -85.235 2.514 
11.26 41.958 0.431 0.69 23.979 20.842 -61.869 2.179 
11.252 41.961 0.424 0.693 25.25 21.877 -104.419 3.925 
11.245 41.964 0.42 0.696 23.779 21.006 -126.829 2.339 
11.224 41.967 0.404 0.699 24.182 21.749 -152.443 6.811 
11.266 41.968 0.435 0.7 24.746 21.436 -58.077 7.928 
11.222 41.972 0.402 0.704 23.041 20.728 -104.427 2.818 
11.23 41.974 0.408 0.706 24.535 21.218 -181.799 2.213 
11.261 41.974 0.431 0.706 23.838 20.958 -88.044 2.005 
11.237 41.986 0.413 0.718 22.649 20.384 -194.607 3.191 
11.471 41.802 0.589 0.536 24.593 21.206 -173.737 3.635 
11.468 41.815 0.586 0.549 23.605 20.898 -225.808 1.863 
11.44 41.861 0.565 0.594 24.602 22.103 -46.436 4.219 
11.421 41.877 0.551 0.61 24.832 21.411 -26.015 3.425 
11.344 41.893 0.494 0.625 23.828 21.04 -63.155 2.266 
11.356 41.901 0.502 0.633 23.867 20.802 -86.236 1.815 
11.292 41.929 0.454 0.661 24.745 21.394 -92.634 3.737 
11.467 41.805 0.586 0.538 23.592 20.559 -40.754 1.36 
11.417 41.884 0.548 0.618 24.489 21.729 -40.954 3.419 
11.458 41.786 0.579 0.52 25.443 22.232 -163.702 3.693 
11.458 41.793 0.579 0.526 24.953 21.865 -119.939 3.983 
11.494 41.801 0.606 0.535 25.205 22.755 -114.492 4.335 
11.515 41.827 0.622 0.56 25.295 21.894 -129.74 4.748 
11.378 41.848 0.519 0.581 24.431 21.687 -40.671 -299800.0 
11.29 41.896 0.453 0.629 23.912 22.049 -95.714 6.712 
11.236 41.899 0.413 0.631 23.764 21.556 -123.484 3.512 
11.32 41.94 0.476 0.673 24.486 21.693 -4.489 3.909 
11.23 41.952 0.408 0.684 24.209 21.646 -223.761 5.144 
11.278 41.958 0.444 0.69 25.488 22.316 -72.941 7.132 
11.261 41.978 0.431 0.71 24.68 21.455 -83.219 2.869 
11.49 41.843 0.603 0.577 24.389 21.651 -44.48 4.6 
11.54 41.85 0.641 0.584 24.193 21.426 -285.055 4.539 
11.497 41.852 0.608 0.586 24.533 21.641 -269.363 5.054 
11.558 41.853 0.654 0.587 24.323 21.062 10.781 2.666 
11.494 41.854 0.606 0.587 24.377 21.096 -85.291 2.259 
11.55 41.857 0.648 0.591 24.482 21.379 -113.504 3.748 
11.546 41.869 0.645 0.603 24.118 21.09 -83.036 2.769 
11.482 41.872 0.597 0.605 24.213 21.154 -125.427 3.028 
11.449 41.873 0.572 0.606 23.418 20.984 -201.83 3.508 
11.55 41.876 0.648 0.61 24.604 21.298 -59.034 3.433 
11.454 41.877 0.576 0.61 22.885 21.096 -74.007 1.846 
11.517 41.878 0.623 0.611 23.96 20.718 -49.861 3.462 
